id,name,type,free_type,axis_type,min,max,init_val,bone_id
0,Translation X,1,1,0,-100000,100000,0,1
1,Translation Y,1,1,1,-100000,100000,0,1
2,Translation Z,1,1,2,-100000,100000,0,1
3,Rotation X,0,1,0,-3.14,3.14,0,1
4,Rotation Y,0,1,1,-3.14,3.14,0,1
5,Rotation Z,0,1,2,-3.14,3.14,0,1
6,Head Flexion,0,0,0,-1,1.6,0,2
7,Head Twist,0,0,1,-1.57,1.57,0,2
8,Head Abduction,0,0,2,-0.6,0.6,0,2
9,RShoulder Twist,0,0,1,-1.57,1.57,0,4
10,RShoulder Abduction,0,0,2,-1.57,1.98,0,4
11,RElbow Flexion,0,0,0,-1.57,1.57,0,5
12,RElbow Twist,0,0,1,-0.1,3.14,0,5
13,RWrist Flexion,0,0,0,-1.57,1.57,0,6
14,RWrist Twist,0,0,1,-0.6,0.6,0,6
15,RWrist Abduction,0,0,2,-1.57,1.57,0,6
16,LShoulder Twist,0,0,1,-1.57,1.57,0,7
17,LShoulder Abduction,0,0,2,-1.98,1.57,0,7
18,LElbow Flexion,0,0,0,-1.57,1.57,0,8
19,LElbow Twist,0,0,1,-3.14,0.1,0,8
20,LWrist Flexion,0,0,0,-1.57,1.57,0,9
21,LWrist Twist,0,0,1,-0.6,0.6,0,9
22,LWrist Abduction,0,0,2,-1.57,1.57,0,9
