id,thetas,mask
A,0#60#0#0#0#0#0#0#0#0.2#0.61#0.67#2.27#-0.92#0#0#-0.2#-0.61#0.67#-2.27#-0.92#0#0,1
B,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,2
C,0#60#0#0#0#0#0#0#0#0.07#0.61#0.67#2.27#0.57#0.35#-0.96#-0.07#-0.61#0.67#-2.27#0.57#-0.35#0.9,3
D,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,4
E,0#60#0#0#0#0#0#0#0#-0.11#0.61#0.42#2.27#-1.2#-0.13#0.48#0.11#-0.61#0.42#-2.27#-1.2#0.13#-0.48,5
F,0#60#0#0#0#0#0#0#0#-0.11#0.61#0.42#2.27#-1#-0.13#0.48#0.11#-0.61#0.42#-2.27#-1#0.13#-0.48,6
G,0#60#0#0#0#0#0#0#0#-0.11#0.61#0.42#2.27#-0.96#-0.19#0.48#0.11#-0.61#0.42#-2.27#-0.96#0.19#-0.48,7
H,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,8
I,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,9
J,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,10
K,0#60#0#0#0#0#0#0#0#0.12#0.7#0.7#2.1#0.3#0.32#-1.19#-0.12#-0.7#0.7#-2.1#0.3#-0.32#1.19,11
L,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,12
M,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,13
N,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,14
O,0#60#0#0#0#0#0#0#0#0.07#0.61#0.67#2.27#0.57#0.35#-0.96#-0.07#-0.61#0.67#-2.27#0.57#-0.35#0.9,15
P,0#60#0#0#0#0#0#0#0#0.2#0.5#0.9#2.36#-1.57#-0.36#-1.13#-0.2#-0.5#0.9#-2.36#-1.57#0.36#1.13,16
Q,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,17
R,0#60#0#0#0#0#0#0#0#0.12#1.1#0.28#1.9#-1.12#-0.5#0.6#-0.12#-1.1#0.28#-1.9#-1.12#0.5#-0.6,18
S,0#60#0#0#0#0#0#0#0#0.02#1.32#0.73#2.43#0.48#0.18#-0.93#0.02#-1.32#0.73#-2.43#0.48#-0.18#0.93,19
T,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,20
U,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,21
V,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,22
W,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,23
X,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,24
Y,0#60#0#0#0#0#0#0#0#-0.24#1.32#0.32#2.15#1.19#0.22#-0.93#0.24#-1.32#0.32#-2.15#1.19#-0.22#0.93,25
Z,0#60#0#0#0#0#0#0#0#-0.11#0.61#0.42#2.27#-1#-0.13#0.48#0.11#-0.61#0.42#-2.27#-1#0.13#-0.48,26
ZH,0#60#0#0#0#0#0#0#0#-0.11#0.61#0.42#2.27#-1#-0.13#0.48#0.11#-0.61#0.42#-2.27#-1#0.13#-0.48,27
CH,0#60#0#0#0#0#0#0#0#0.12#0.7#0.7#2.1#0.3#0.32#-1.19#-0.12#-0.7#0.7#-2.1#0.3#-0.32#1.19,28
SH,0#60#0#0#0#0#0#0#0#0.02#1.32#0.73#2.43#0.48#0.18#-0.93#0.02#-1.32#0.73#-2.43#0.48#-0.18#0.93,29
NG,0#60#0#0#0#0#0#0#0#-0.11#0.61#0.42#2.27#-1.2#-0.13#0.48#0.11#-0.61#0.42#-2.27#-1.2#0.13#-0.48,30
idle,0#0#0#0#0#0#0#0#0#0#1.45#0#0.11#0#0#0#0#-1.45#0#-0.11#0#0#0,254
971_start,0#0#0#0#0#0#0#0#0#0.35#1.44#0.77#1.45#-0.45#0#-0.5#-0.35#-1.44#0.77#-1.45#-0.45#0#0.5,254
370_start,0#0#0#0#0#0#0#0#0#0.53#1.45#1.15#1.52#1.189#0#0#0#-1.45#0#-0.11#0#0#0,254
