id,name,position,radius,type
0,pinky_top,-39.1921010036571#104.42914690526#-2.03345317132301,4.180020358,1
1,pinky_middle,-36.4219529183199#92.1801271620935#0.546700057100143,4.771662276,0
2,pinky_bottom,-30.1593239820926#74.2435104185241#2.80195787383723,6.225589839,0
3,pinky_base,-18.1006274829058#44.8872189558057#6.89779885175684,7.84562144,0
4,ring_top,-15.961499192477#123.394423445008#3.96469521085454,4.849588168,1
5,ring_middle,-15.4991239712589#110.035264772398#6.47634811440922,5.012165065,0
6,ring_bottom,-11.9816869020692#86.4515472992845#8.14998781146569,6.970921273,0
7,ring_base,-5.93252833208436#49.1045715198562#10.7990745655024,7.26767841,0
8,middle_top,3.94151798468563#132.348650392571#12.3794798691294,5.584316831,1
9,middle_middle,5.23563478772852#116.501684967454#12.8708126150782,5.676207113,0
10,middle_bottom,7.45063177664098#93.3529393243844#12.0578696001538,7.643017498,0
11,middle_base,8.13206093136712#52.8925337300225#10.5462597198908,7.688343204,0
12,index_top,36.5828948203801#120.304655710991#8.22434819016473,5.174266234,1
13,index_middle,33.6977430081962#107.801724820444#8.02237711930881,5.852994546,0
14,index_bottom,30.998569724308#87.4094524185472#6.97584287318811,7.552514461,0
15,index_base,25.3963014758116#50.8191271908063#5.28707421284505,8.441427069,0
16,thumb_top,58.8494401682182#61.8887563590976#-28.3816114964767,7.03110438,1
17,thumb_middle,52.3324885138967#50.0437715911652#-24.6250694698376,7.308462891,0
18,thumb_bottom,36.3487867184322#27.6729832330458#-17.3672321427731,10.31178274,0
19,thumb_base,9.72575025957954#3.87206312066022#-7.1604627581242,15.68268369,0
20,palm_pinky,-17.9329458594479#38.5720121100473#3.26178933462043,8.984822416,1
21,palm_ring,-6.55444438542295#42.5952776864151#6.32104603513129,10.21721303,1
22,palm_middle,5.55773283700264#45.0206826906809#6.94770747925078,10.72598484,1
23,palm_index,23.937065383421#45.6289775954587#3.48159531302545,9.505478229,1
24,palm_thumb,28.5966853981623#41.2309736294272#1.30522236582156,4.76349878,1
25,palm_back,0#0#0,13.62442596,0
26,palm_right,-10.0083042480548#1.01374285060873#0.437150571696773,13.41931265,1
27,palm_left,7.31059158265142#3.0928009903835#-0.0489973098355871,13.29944074,1
28,pinky_membrane,-25.2322135133901#60.8667733160735#0.0655308160968786,1.753412633,1
29,ring_membrane,-7.66261253423953#66.684123835526#5.10591862699012,2.812122142,1
30,middle_membrane,7.45339748885971#68.1337189972611#6.36451763617509,3.157745653,1
31,index_membrane,24.1939771699258#64.373856660983#0.365075871711399,1.296232021,1
32,thumb_additional,62.8668882141749#67.1738090866495#-30.2867132413268,4.9916229,1
33,thumb_fold,29.1982351526817#25.353636004807#-9.29490335239345,6.60392417,1
