id,name,center_id,parent_id,attachment_ids,init_local
0,Root,-1,-1,,1#0#0#0#0#1#0#0#0#0#1#0#0#0#0#1
1,Hand,25,0,20#21#22#23#24#26#27,1#0#0#0#0#1#0#0#0#0#1#0#0#0#0#1
2,Hand Thumb1,19,1,33,-0.00201514#0.392222#0.919869#0#-0.716811#0.640827#-0.274812#0#-0.697264#-0.659926#0.279858#0#-9.72575#3.87206#-7.16046#1
3,Hand Thumb2,18,2,,0.997074#-0.0764379#0#0#0.0749142#0.977199#-0.198669#0#0.0151859#0.198088#0.980067#0#0#37.1409#0#1
4,Hand Thumb3,17,3,16#32,0.998709#0.0507922#0#0#-0.0497797#0.978802#-0.198669#0#-0.0100908#0.198413#0.980067#0#0#28.436#0#1
5,Hand Index1,15,1,31,-0.95871#-0.13524#-0.25017#0#-0.151187#0.987454#0.0455744#0#0.240868#0.081515#-0.967129#0#-25.3963#50.8191#5.28707#1
6,Hand Index2,14,5,,0.99978#0.0209711#-0#0#-0.0209711#0.99978#0#0#0#0#1#0#0#37.0552#0#1
7,Hand Index3,13,6,12,0.999344#-0.036207#0#0#0.036207#0.999344#0#0#0#0#1#0#0#20.5967#0#1
8,Hand Middle1,11,1,30,-0.999455#0.0157486#0.0290164#0#0.0168278#0.999161#0.0373289#0#-0.0284042#0.0377968#-0.998882#0#-8.13206#52.8925#10.5463#1
9,Hand Middle2,10,8,,0.996917#0.0784591#-0#0#-0.0784591#0.996917#0#0#0#0#1#0#0#40.4944#0#1
10,Hand Middle3,9,9,8,0.999891#-0.0147668#0#0#0.0147668#0.999891#0#0#0#0#1#0#0#23.2687#0#1
11,Hand Ring1,7,1,29,-0.987195#0.158907#-0.0139678#0#0.159498#0.984724#-0.0698482#0#0.00265503#-0.0711816#-0.99746#0#5.93253#49.1046#10.7991#1
12,Hand Ring2,6,11,,0.999922#-0.012492#0#0#0.012492#0.999922#0#0#0#0#1#0#0#37.9263#0#1
13,Hand Ring3,5,12,4,0.996917#-0.0784591#0#0#0.0784591#0.996917#0#0#0#0#1#0#0#23.9032#0#1
14,Hand Pinky1,3,1,28,-0.900232#0.395267#0.182609#0#0.376838#0.917393#-0.127996#0#-0.218117#-0.0464125#-0.974818#0#18.1006#44.8872#6.8978#1
15,Hand Pinky2,2,14,,0.998521#-0.0543646#0#0#0.0543646#0.998521#0#0#0#0#1#0#0#31.9997#0#1
16,Hand Pinky3,1,15,0,0.996917#-0.0784591#0#0#0.0784591#0.996917#0#0#0#0#1#0#0#19.1319#0#1
