id,thetas,mask
A,0#0#0#0#0#0#-0.0380623#0.273356#0.302076#0.0577855#-0.149135#1.58#1.48#1.62215#0.0602077#1.58#1.475#1.52042#0.0238755#1.46#1.46#1.51315#0.263495#1.41#1.495#1.46955,1
B,0#0#0#0#0#0#-0.363322#0.117647#-0.9#-0.9#0.17#0#0#0#-0.075#0#0#0#-0.185#-0.105#0#0#-0.4#-0.1#0#0,2
C,0#0#0#0#0#0#0.487889#-0.16263#-0.476471#-0.684083#0.149827#0.59654#0.72#0.7#0.128028#0.586505#0.692041#0.859169#-0.0211072#0.46609#0.595#0.84#-0.113322#0.365744#0.685#0.615,3
D,0#0#0#0#0#0#0.460208#0.0449827#-0.9#-0.9#-0.149135#1.6#1.48#1.62215#0.0602077#1.6#1.475#1.52042#0.0238755#1.46#1.46#1.51315#0.263495#1.41#1.495#1.46955,4
E,0#0#0#0#0#0#0.391003#-0.178201#-0.545#-0.615#0#0.867474#1.2#0.995#0#0.095#0#0#0#0#0#0#0#0#0#0,5
F,0#0#0#0#0#0#0.591695#-0.230104#-0.9#-0.9#0#0#0#0#0#0.11#0#0#0#1.01799#1.11349#1.28789#0.0979239#0.977855#1.0263#1.03,6
G,0#0#0#0#0#0#0.626298#-0.0847751#-0.9#-0.9#0#0#0#0#0.050519#1.135#1.17#1.08#-0.0570934#1.01799#1.11349#1.28789#0.0465398#0.98#1.0263#1.03,7
H,0#0#0#0#0#0#0.591695#-0.230104#-0.9#-0.9#0.12#0.095#0#0#-0.13#0.11#0#0#0#1.01799#1.11349#1.28789#0.0979239#0.97855#1.0263#1.03,8
I,0#0#0#0#0#0#0.591695#-0.230104#-0.9#-1.17#0.12#0.095#0#0#0.0602077#1.58#1.475#1.52042#0.023875#1.46#1.46#1.51315#0.263495#1.41#1.495#1.46955,9
J,0#0#0#0#0#0#0.591695#-0.230104#-0.9#-1.17#0.12#0#1.115#1.17#0.0602077#1.58#1.475#1.52042#0.0238755#1.46#1.46#1.51315#0.263495#1.41#1.495#1.46955,10
K,0#0#0#0#0#0#0.183391#-0.5#-0.0840831#-0.00865054#0.12#0.095#0#0#0.0602077#1.57993#0#0#0.023875#1.46#1.46#1.51315#0.263495#1.41#1.495#1.46955,11
L,0#0#0#0#0#0#0.176471#0.486159#0#0#0.12#0.095#0#0#0.0602077#1.58#1.475#1.52042#0.023875#1.46#1.46#1.51315#0.263495#1.41#1.495#1.46955,12
M,0#0#0#0#0#0#0.176#-0.5#-1.23426#-0.09#-0.027#1.5#0.93#0.64#0.13#1.43#0.85#0.68#0.07#1.159#0.83737#0.750173#0.28#1.6#1.67301#0.024,13
N,0#0#0#0#0#0#-0.017#-0.427336#-1.04325#-0.274394#-0.027#1.35917#0.93#0.64#0.152249#1.248#0.968166#0.68#0.07#1.58#1.58#0.33#0.28#1.6#1.67301#0.024,14
O,0#0#0#0#0#0#0.439#-0.08#-0.66#-0.65#0.0560001#0.92#0.78#0.78#0.147405#0.92#0.69#0.86#0.02#0.84#0.595#0.84#0.035#0.73#0.685#0.615,15
